timestamp,x,y,vx,wz
1748462938.6527612,7.050942115069904e-05,-1.015455305276388e-06,1.030770728049611e-06,-8.591048430736616e-08
1748462938.709837,7.05113639231305e-05,-1.015503144268187e-06,2.6293118990328806e-06,-6.316954277057663e-08
1748462938.7500932,7.051785990239288e-05,-1.0154991911294662e-06,4.561335721005969e-06,-5.076309508758367e-08
1748462938.7834773,7.053077494109517e-05,-1.0154853968858002e-06,4.397154780030686e-06,-6.131935829264464e-08
1748462938.8206842,7.055389311419875e-05,-1.015447837892707e-06,3.7670481795550104e-06,-6.467830829199651e-08
1748462938.8530817,7.057512281050126e-05,-1.0155079066585846e-06,4.029549523227422e-06,-5.416123968039642e-08
1748462938.888425,7.057151871030832e-05,-1.0154364553803104e-06,9.230642126500311e-07,-8.891400458158979e-08
1748462938.928325,7.05598811628154e-05,-1.0155133541522057e-06,2.9741937974568524e-06,-7.582424314738372e-08
1748462938.9681954,7.05525612783937e-05,-1.0155316625178045e-06,4.217249852982747e-07,-8.088037870001487e-08
1748462939.0079253,7.052720701143203e-05,-1.0155011248429294e-06,2.971606220906474e-06,-7.524469744455579e-08
1748462939.0458217,7.051697730455915e-05,-1.0154589369702015e-06,2.3368619369049603e-06,-7.840797146255594e-08
1748462939.0836427,7.051730216519174e-05,-1.0154595548193374e-06,1.6190039832689434e-06,-7.988060551740022e-08
1748462939.1197655,7.052810967694102e-05,-1.0155477604578235e-06,1.9062678007229299e-06,-6.793382675476417e-08
1748462939.160444,7.054458144868192e-05,-1.0155379373219493e-06,4.041557900558649e-06,-5.388050080730115e-08
1748462939.1967046,7.056589347438791e-05,-1.0155277822686408e-06,5.066677804463703e-06,-5.5058254816892984e-08
1748462939.233597,7.058580026990158e-05,-1.0154636375517223e-06,1.630529012723148e-06,-7.8944485664104e-08
1748462939.27069,7.059178918118556e-05,-1.0155339729298154e-06,3.680437023208879e-06,-6.993031527218525e-08
