timestamp,x,y,theta,vx,wz
1748975038.3690827,5.830088392098018e-05,-9.944779678463746e-07,9.574806337406525e-07,2.2338539912026424e-06,-6.968385910164627e-08
1748975038.4329374,5.8294432346312195e-05,-9.944687711924017e-07,9.5820971415085e-07,4.178885704521224e-06,-5.493824002300492e-08
1748975038.487069,5.8294448841377444e-05,-9.944596607223096e-07,9.590981990225357e-07,4.027113342708058e-06,-6.343895524556922e-08
1748975038.5516312,5.8304727781850785e-05,-9.944263864963443e-07,9.600712409244759e-07,3.397577208165481e-06,-6.847240394010076e-08
1748975038.6058397,5.8322614111081217e-05,-9.944063300065914e-07,9.611168696211181e-07,1.2900132522234119e-06,-8.177479629020277e-08
1748975038.6533988,5.8323768611105524e-05,-9.944825976521057e-07,9.619991235579738e-07,3.3407602066402266e-06,-7.12123456942728e-08
1748975038.7007043,5.832428595935614e-05,-9.944962808935524e-07,9.627939704347052e-07,3.6227244144195133e-06,-6.164474320508478e-08
1748975038.7595491,5.8303405555231366e-05,-9.944619303616807e-07,9.634156801793491e-07,1.972625004023637e-06,-8.19824339470296e-08
1748975038.8120022,5.8294927927070395e-05,-9.945040769872554e-07,9.641811452936048e-07,2.2367353473316546e-06,-6.874553927412384e-08
1748975038.8727405,5.8288251195348534e-05,-9.945046291097061e-07,9.649228185324447e-07,4.172293765502908e-06,-5.511557166985464e-08
1748975038.9305267,5.828802730406726e-05,-9.944949990603493e-07,9.657939047327363e-07,4.017979061575768e-06,-6.397722668005364e-08
1748975038.9794712,5.829806770488505e-05,-9.944613180435577e-07,9.667592760825718e-07,3.3887146286335433e-06,-6.838467770197458e-08
1748975039.025012,5.831836404380684e-05,-9.943966770094123e-07,9.677989638688328e-07,2.7042755300509817e-06,-7.221792552769182e-08
1748975039.0776644,5.834948910034564e-05,-9.945178274507028e-07,9.689838443184567e-07,1.5450478413457375e-06,-6.847554289601676e-08
1748975039.1412313,5.835483928305369e-05,-9.944746917894897e-07,9.699220552916704e-07,2.6981836147013004e-06,-7.484150327391084e-08
1748975039.202876,5.836112004855323e-05,-9.945259358910447e-07,9.70762203948767e-07,4.6442391099172094e-06,-6.360315663350367e-08
1748975039.2494998,5.835438917031484e-05,-9.945330032322498e-07,9.71545432562006e-07,7.63269175825073e-07,-7.933470048788605e-08
1748975039.3012545,5.8326565136566745e-05,-9.944935833028963e-07,9.721197346113096e-07,1.9424398833000608e-06,-8.272031521128858e-08
1748975039.3569093,5.831343875583052e-05,-9.944566360127906e-07,9.727925481614014e-07,1.240739969391892e-06,-8.613072095151397e-08
1748975039.4079525,5.831099639476949e-05,-9.94549952542323e-07,9.736206817506942e-07,1.515292245183156e-06,-7.092642095592174e-08
1748975039.4569829,5.83142998196022e-05,-9.945445485814422e-07,9.745106068751353e-07,3.652423352580123e-06,-5.646445364927014e-08
1748975039.5278378,5.832250433824635e-05,-9.945385370663361e-07,9.754317181270309e-07,4.687256252881714e-06,-5.954516574667173e-08
1748975039.5902896,5.833967483043971e-05,-9.945140988291793e-07,9.764398788491684e-07,4.05837757213444e-06,-6.308551459678479e-08
1748975039.648296,5.836276616793475e-05,-9.944425926623807e-07,9.775539271171195e-07,1.997234698918545e-06,-7.588543667260462e-08
1748975039.7604535,5.83736556746854e-05,-9.94554038118288e-07,9.785447556807621e-07,4.002755005794111e-06,-6.615044225264717e-08
1748975039.844031,5.838104867102985e-05,-9.945556761123402e-07,9.794042034322053e-07,2.9346248415630343e-06,-6.583030805005772e-08
1748975039.9540627,5.836204483502348e-05,-9.944546046092564e-07,9.800479293075518e-07,1.2430899903018812e-06,-8.662106604972983e-08
1748975040.0444808,5.8351329888993114e-05,-9.945788506200547e-07,9.807624012146274e-07,4.100170225719439e-06,-5.6948549076636664e-08
1748975040.1282868,5.8329324805305214e-05,-9.945239056366579e-07,9.814097198228197e-07,2.634329540812113e-06,-7.77172933168564e-08
1748975040.2181304,5.832339332374008e-05,-9.944680187175117e-07,9.821676375296172e-07,1.9493689125828364e-06,-7.946203337518627e-08
1748975040.2808142,5.832824907021443e-05,-9.945402312950066e-07,9.83112914631138e-07,1.362602485013264e-06,-8.055694114127293e-08
1748975040.3363168,5.83416909893838e-05,-9.945840596740852e-07,9.840870347986242e-07,2.968919944667665e-06,-6.097348800899973e-08
1748975040.4011085,5.835962462601163e-05,-9.945765293946994e-07,9.85069602892042e-07,4.898049610179207e-06,-4.8204434798233075e-08
1748975040.4570477,5.838392560232241e-05,-9.94559439569162e-07,9.861641888967045e-07,4.727080036499954e-06,-5.711950924611486e-08
1748975040.5014677,5.8404951408917414e-05,-9.945890067763145e-07,9.873004335041454e-07,2.237518745842014e-06,-6.606325536357815e-08
1748975040.5478125,5.840054134235047e-05,-9.945203504517605e-07,9.880808219987868e-07,1.983663841200709e-06,-8.261706152863619e-08
1748975040.6053665,5.839563051831996e-05,-9.946025713618862e-07,9.888117783648337e-07,3.935979316543966e-06,-6.836287181240135e-08
1748975040.6522698,5.838324807729151e-05,-9.94607779756925e-07,9.895628516787595e-07,1.461832824714178e-06,-7.472253065566538e-08
1748975040.7052891,5.836188162863126e-05,-9.945984165776792e-07,9.901427195469424e-07,3.930837392022904e-06,-6.848157489397295e-08
1748975040.7657866,5.835278059585069e-05,-9.945830649126606e-07,9.908941927478748e-07,3.3022528040277137e-06,-6.98760759856842e-08
1748975040.8087313,5.8354013209177584e-05,-9.945387719797631e-07,9.917993100308259e-07,2.665909164713058e-06,-7.33468670179164e-08
1748975040.8474498,5.8365780831492415e-05,-9.945357969387135e-07,9.927781600479755e-07,1.9486677470777264e-06,-7.810182933280958e-08
1748975040.895355,5.838798241988226e-05,-9.94620747477969e-07,9.938278072051578e-07,2.2416045971092943e-06,-6.51761680020735e-08
